Paper,Subject,Subject Code,Q. no.,Type,Type Code,Correct response,Wrong response,Unanswered,Total Observations,Percent Correct,Percent Wrong,Percent Unanswered,Percent total data,Topics
2,Physics,2,29,MSQ,2,6126,41397,95626,143149,4.279457069,28.91881885,66.80172408,91.98802187,Thermodynamics;
2,Physics,2,30,MSQ,2,1733,18292,108052,128077,1.35309228,14.28203346,84.36487426,82.30270472,Electricity;Laws of Motion;
2,Physics,2,31,MSQ,2,4538,47311,91743,143592,3.160343195,32.94821439,63.89144242,92.27269514,Wave Optics;
2,Physics,2,33,MCQ,5,11287,64624,79706,155617,7.253063611,41.5275966,51.21933979,100,Rotational Motion;
2,Physics,2,34,MCQ,5,58827,48478,48312,155617,37.80242518,31.15212348,31.04545133,100,Modern Physics;
2,Physics,2,36,MCQ,5,37121,69121,49375,155617,23.85407764,44.4173837,31.72853866,100,Magnetism;
2,Chemistry,3,37,SDI,4,4949,25067,125601,155617,3.180243804,16.10813729,80.71161891,100,General Chemistry;Chemical and Ionic Equilibrium;
2,Chemistry,3,38,SDI,4,14911,19077,121629,155617,9.581858023,12.25894343,78.15919855,100,Solutions;
2,Chemistry,3,39,SDI,4,20377,14262,120978,155617,13.09432774,9.164808472,77.74086379,100,Electrochemistry;
2,Chemistry,3,40,SDI,4,65454,10267,79896,155617,42.06095735,6.59760823,51.34143442,100,General Chemistry;Inorganic Chemistry;
2,Chemistry,3,41,SDI,4,23393,35238,96986,155617,15.03241934,22.6440556,62.32352506,100,General Chemistry;Chemical Bonding and Molecular Structure;
2,Chemistry,3,42,SDI,4,12263,27115,116239,155617,7.880244446,17.42418887,74.69556668,100,Alkenes and Alkynes;
2,Chemistry,3,43,SDI,4,5480,62742,87395,155617,3.521466164,40.31821716,56.16031667,100,Alkenes and Alkynes;
2,Chemistry,3,44,SDI,4,38025,49670,67922,155617,24.43499104,31.91810663,43.64690233,100,Basic Principles of Organic Chemistry;
2,Chemistry,3,45,MSQ,2,22984,41598,61683,126265,18.20298578,32.94499663,48.85201758,81.13830751,General Chemistry;
2,Chemistry,3,46,MSQ,2,2900,25099,79510,107509,2.697448586,23.34595243,73.95659898,69.08563974,Chemical Thermodynamics;Electrochemistry;
2,Chemistry,3,47,MSQ,2,2545,39806,43782,86133,2.954732797,46.21457513,50.83069207,55.34935129,p-Block Elements;
2,Chemistry,3,48,MSQ,2,12970,34228,32956,80154,16.1813509,42.70279712,41.11585198,51.50722607,Isolation of Metals;Chemical Thermodynamics;
2,Chemistry,3,49,MSQ,2,2815,29337,76687,108839,2.58638907,26.95449242,70.45911851,69.94030215,Benzene;Basic Principles of Organic Chemistry;
2,Chemistry,3,50,MSQ,2,26612,81944,25111,133667,19.90917728,61.30458528,18.78623744,85.89485725,Polymers;
2,Chemistry,3,51,MCQ,5,16776,93696,45145,155617,10.7803132,60.20936016,29.01032664,100,Solid State;
2,Chemistry,3,52,MCQ,5,35900,63484,56233,155617,23.06945899,40.79502882,36.13551219,100,Chemical Bonding and Molecular Structure;
2,Chemistry,3,53,MCQ,5,60258,45348,50011,155617,38.72199053,29.14077511,32.13723436,100,Qualitative Analysis;Chemical and Ionic Equilibrium;
2,Chemistry,3,54,MCQ,5,26726,43408,85483,155617,17.17421618,27.89412468,54.93165914,100,Biomolecules;
